"ticket","trade-date","pnl","volume","lots","sl","tp","swap","commissions","duration","side","open-time","open-price","close-price","close-time","symbol","comment"
"1681444","13/08/2024 02:48:03 PM","42.5","25761.25","125","","","","","00:00:00:17","SELL","13/08/2024 02:48:03 PM","205.75","206.09","13/08/2024 02:48:20 PM","TSLA.NAS",""
"1681621","13/08/2024 02:48:50 PM","-78.75","25712.5","125","205.7","207.6","","","00:00:07:25","SELL","13/08/2024 02:48:50 PM","206.33","205.7","13/08/2024 02:56:15 PM","TSLA.NAS",""
"1756442","14/08/2024 03:08:15 PM","2.5","27748.75","1.25","221.82","223.65","","","00:01:09:48","SELL","14/08/2024 03:08:15 PM","221.97","221.99","14/08/2024 04:18:03 PM","AAPL.NAS",""
"1756447","14/08/2024 03:08:15 PM","3.75","27750","1.25","221.82","223.65","","","00:01:09:48","SELL","14/08/2024 03:08:15 PM","221.97","222","14/08/2024 04:18:04 PM","AAPL.NAS",""
"1760878","14/08/2024 03:50:11 PM","-105.6","26098.6","1.1","","","","","00:00:35:32","SELL","14/08/2024 03:50:11 PM","238.22","237.26","14/08/2024 04:25:43 PM","LOW.NYS",""
"1760883","14/08/2024 03:50:11 PM","-105.6","26098.6","1.1","","","","","00:00:35:32","SELL","14/08/2024 03:50:11 PM","238.22","237.26","14/08/2024 04:25:44 PM","LOW.NYS",""
"1760888","14/08/2024 03:50:12 PM","-112.2","26092","1.1","","","","","00:00:35:32","SELL","14/08/2024 03:50:12 PM","238.22","237.2","14/08/2024 04:25:45 PM","LOW.NYS",""
"1831109","15/08/2024 04:27:39 PM","-85","26833.75","1.25","","","","","00:01:11:49","BUY","15/08/2024 04:27:39 PM","213.99","214.67","15/08/2024 05:39:28 PM","TSLA.NAS",""
"1831114","15/08/2024 04:27:39 PM","-85","26833.75","1.25","","","","","00:01:11:49","BUY","15/08/2024 04:27:39 PM","213.99","214.67","15/08/2024 05:39:29 PM","TSLA.NAS",""
"1831119","15/08/2024 04:27:40 PM","-85","26832.5","1.25","","","","","00:01:11:50","BUY","15/08/2024 04:27:40 PM","213.98","214.66","15/08/2024 05:39:30 PM","TSLA.NAS",""
"1831124","15/08/2024 04:27:41 PM","-86.25","26832.5","1.25","","","","","00:01:11:49","BUY","15/08/2024 04:27:41 PM","213.97","214.66","15/08/2024 05:39:31 PM","TSLA.NAS",""
"1835246","15/08/2024 05:51:07 PM","-49","53689","1","","","","","00:01:39:20","SELL","15/08/2024 05:51:07 PM","537.38","536.89","15/08/2024 07:30:28 PM","META.NAS",""
"1835301","15/08/2024 05:51:10 PM","-45","53692.99999999999","1","","","","","00:01:39:19","SELL","15/08/2024 05:51:10 PM","537.38","536.93","15/08/2024 07:30:29 PM","META.NAS",""
"1874148","16/08/2024 01:39:38 PM","73.75","27118.75","1.25","","","","","00:00:11:25","SELL","16/08/2024 01:39:38 PM","216.36","216.95","16/08/2024 01:51:04 PM","TSLA.NAS",""
"1874143","16/08/2024 01:39:38 PM","157.5","27197.5","1.25","","","","","00:00:41:04","SELL","16/08/2024 01:39:38 PM","216.32","217.58","16/08/2024 02:20:42 PM","TSLA.NAS",""
"1874203","16/08/2024 01:39:39 PM","157.5","27200","1.25","","","","","00:00:41:03","SELL","16/08/2024 01:39:39 PM","216.34","217.6","16/08/2024 02:20:42 PM","TSLA.NAS",""
"1885346","16/08/2024 02:27:43 PM","118.75","15422.5","1.25","","","","","00:00:35:48","BUY","16/08/2024 02:27:43 PM","124.33","123.38","16/08/2024 03:03:31 PM","NVDA.NAS",""
"1885401","16/08/2024 02:27:43 PM","116.25","15422.5","1.25","","","","","00:00:35:48","BUY","16/08/2024 02:27:43 PM","124.31","123.38","16/08/2024 03:03:32 PM","NVDA.NAS",""
"1885411","16/08/2024 02:27:44 PM","117.5","15423.75","1.25","","","","","00:00:35:49","BUY","16/08/2024 02:27:44 PM","124.33","123.39","16/08/2024 03:03:33 PM","NVDA.NAS",""
"1897304","16/08/2024 03:49:45 PM","173.6","69893.59999999999","0.8","","","","","00:02:55:11","SELL","16/08/2024 03:49:45 PM","871.5","873.67","16/08/2024 06:44:57 PM","COST.NAS",""
"1897249","16/08/2024 03:49:43 PM","173.6","69893.59999999999","0.8","","","","","00:02:55:13","SELL","16/08/2024 03:49:43 PM","871.5","873.67","16/08/2024 06:44:57 PM","COST.NAS",""
"1972699","19/08/2024 01:34:16 PM","-205","52754.99999999999","1","","","","","00:00:04:11","SELL","19/08/2024 01:34:16 PM","529.6","527.55","19/08/2024 01:38:27 PM","META.NAS",""
"1972754","19/08/2024 01:34:16 PM","-205","52754.99999999999","1","","","","","00:00:04:11","SELL","19/08/2024 01:34:16 PM","529.6","527.55","19/08/2024 01:38:28 PM","META.NAS",""
"1974989","19/08/2024 01:42:00 PM","216","26070","1.2","217.26","","","","00:00:12:23","SELL","19/08/2024 01:42:00 PM","215.45","217.25","19/08/2024 01:54:24 PM","TSLA.NAS",""
"1974994","19/08/2024 01:42:02 PM","196.8","26070","1.2","217.26","","","","00:00:12:22","SELL","19/08/2024 01:42:02 PM","215.61","217.25","19/08/2024 01:54:24 PM","TSLA.NAS",""
"1986062","19/08/2024 02:08:15 PM","249.7","16768.4","1.1","","","","","00:00:32:14","SELL","19/08/2024 02:08:15 PM","150.17","152.44","19/08/2024 02:40:30 PM","AMD.NAS",""
"1986067","19/08/2024 02:08:16 PM","259.6","16765.1","1.1","","","","","00:00:32:14","SELL","19/08/2024 02:08:16 PM","150.05","152.41","19/08/2024 02:40:31 PM","AMD.NAS",""
"1986072","19/08/2024 02:08:16 PM","261.8","16764","1.1","","","","","00:00:32:15","SELL","19/08/2024 02:08:16 PM","150.02","152.4","19/08/2024 02:40:32 PM","AMD.NAS",""
